,ids,pvalue_less,pvalue_greater
710,2544,0.0001,1.0
711,2545,1.0,1.0
712,2546,1.0,0.0001
713,2547,1.0,1.0
714,2548,1.0,1.0
715,2549,0.0001,1.0
716,2550,1.0,1.0
717,2551,0.2533,1.0
718,2552,1.0,0.0001
719,2553,1.0,1.0
720,2554,1.0,1.0
721,2555,0.4884,0.5787
722,2556,0.0056,1.0
723,2557,0.2817,1.0
724,2558,0.0001,1.0
725,2559,1.0,1.0
726,2560,1.0,1.0
727,2561,1.0,1.0
728,2562,1.0,1.0
729,2563,1.0,1.0
730,2564,1.0,1.0
731,2565,0.0001,1.0
732,2566,1.0,1.0
733,2567,0.0047,0.9981
734,2568,1.0,1.0
735,2569,0.9973,0.0084
736,2570,1.0,1.0
737,2571,1.0,1.0
738,2572,1.0,1.0
739,2573,1.0,1.0
740,2574,1.0,1.0
741,2575,0.0001,1.0
742,2576,1.0,0.0117
743,2577,1.0,1.0
744,2578,0.0001,1.0
745,2579,1.0,1.0
746,2580,1.0,1.0
747,2581,1.0,1.0
748,2582,1.0,0.0001
749,2583,1.0,0.0001
750,2584,1.0,1.0
751,2585,0.2725,1.0
752,2586,1.0,1.0
753,2588,1.0,0.0002
754,2589,1.0,1.0
755,2590,0.499,1.0
756,2591,1.0,1.0
757,2592,1.0,1.0
758,2593,0.0001,1.0
759,2594,1.0,1.0
760,2595,1.0,1.0
761,2596,1.0,1.0
762,2597,0.0001,1.0
763,2598,1.0,1.0
764,2599,0.0001,1.0
765,2600,1.0,0.0001
766,2601,1.0,1.0
767,2602,1.0,1.0
768,2603,1.0,1.0
769,2604,1.0,1.0
770,2605,1.0,1.0
771,2606,1.0,1.0
772,2607,0.997,0.0107
773,2608,1.0,0.0001
774,2609,1.0,1.0
775,2610,1.0,1.0
776,2611,1.0,1.0
777,2612,1.0,1.0
778,2613,1.0,1.0
779,2614,0.4193,0.6947
780,2615,0.0001,1.0
781,2616,1.0,1.0
782,2617,1.0,0.0001
783,2618,1.0,0.0001
784,2619,1.0,1.0
785,2620,1.0,1.0
786,2621,1.0,1.0
787,2622,0.0001,1.0
788,2623,1.0,1.0
789,2624,1.0,1.0
790,2625,1.0,1.0
791,2626,1.0,1.0
792,2627,0.0006,0.9998
793,2628,1.0,0.0001
794,2629,0.1913,0.8415
795,2630,1.0,1.0
796,2979,1.0,0.4878
797,3098,1.0,1.0
798,3102,1.0,1.0
799,3141,1.0,1.0
800,3173,0.0001,1.0
801,3200,1.0,1.0
802,3206,0.0001,1.0
803,3248,1.0,0.0001
804,3256,0.0287,0.9777
805,3262,1.0,1.0
806,3271,1.0,0.0001
807,3296,1.0,1.0
808,3297,0.0294,0.9803
809,3298,1.0,1.0
810,3299,1.0,1.0
811,3300,1.0,1.0
812,3301,1.0,0.4893
813,3302,1.0,1.0
814,3303,1.0,1.0
815,3304,1.0,1.0
816,3305,0.0001,1.0
817,3306,1.0,1.0
818,3307,0.0001,1.0
819,3308,1.0,1.0
820,3309,1.0,0.0028
821,3310,1.0,1.0
822,3311,1.0,1.0
823,3314,0.0001,1.0
824,3315,1.0,0.0001
825,3316,1.0,1.0
826,3317,1.0,1.0
827,3318,1.0,1.0
828,3319,1.0,0.4881
829,3320,1.0,1.0
830,3321,0.0325,0.9964
831,3322,0.9997,0.0102
832,3323,1.0,1.0
833,3324,1.0,1.0
834,3325,1.0,1.0
835,3326,1.0,1.0
836,3327,0.5646,0.5148
837,3328,1.0,0.0002
838,3329,1.0,0.0001
839,3330,1.0,1.0
840,3331,1.0,0.1155
841,3332,1.0,1.0
