ids,pvalue_less,pvalue_greater
1238,0.000999000999000999,1.0
1239,1.0,0.000999000999000999
1240,1.0,0.000999000999000999
1241,0.000999000999000999,1.0
1242,1.0,0.000999000999000999
1243,1.0,1.0
1244,1.0,0.05194805194805195
1245,1.0,1.0
1246,1.0,1.0
1247,1.0,0.000999000999000999
1248,0.000999000999000999,1.0
1249,1.0,1.0
1250,1.0,1.0
1251,0.8281718281718282,0.3046953046953047
1252,1.0,1.0
1253,1.0,1.0
1254,1.0,1.0
1255,1.0,1.0
1256,0.2807192807192807,0.8081918081918081
1257,0.000999000999000999,1.0
1258,0.000999000999000999,1.0
1259,0.005994005994005994,0.999000999000999
1260,1.0,0.000999000999000999
1261,0.000999000999000999,1.0
1262,1.0,1.0
1263,1.0,0.000999000999000999
1264,1.0,1.0
1265,0.989010989010989,0.05194805194805195
1266,1.0,1.0
1267,1.0,1.0
1268,1.0,0.000999000999000999
1269,1.0,1.0
1270,1.0,0.000999000999000999
1271,1.0,1.0
1272,0.000999000999000999,1.0
1273,1.0,1.0
1274,1.0,1.0
1275,1.0,1.0
1276,0.002997002997002997,1.0
1277,0.017982017982017984,0.994005994005994
1278,1.0,1.0
1279,1.0,1.0
1280,1.0,0.001998001998001998
1281,0.016983016983016984,1.0
1282,0.007992007992007992,1.0
1283,1.0,1.0
1284,0.000999000999000999,1.0
1285,1.0,1.0
1286,0.000999000999000999,1.0
1287,1.0,0.04095904095904096
1288,1.0,0.000999000999000999
1289,1.0,0.47152847152847155
1290,1.0,0.000999000999000999
1291,1.0,1.0
1292,1.0,0.000999000999000999
1293,0.000999000999000999,1.0
1294,1.0,0.000999000999000999
1295,1.0,0.000999000999000999
1296,1.0,1.0
1297,1.0,0.000999000999000999
1298,1.0,1.0
1299,1.0,1.0
1300,1.0,0.000999000999000999
1301,0.000999000999000999,1.0
1302,1.0,1.0
1303,1.0,0.000999000999000999
1304,1.0,1.0
1305,0.000999000999000999,1.0
1306,1.0,0.000999000999000999
1307,1.0,0.000999000999000999
1308,1.0,1.0
1309,1.0,1.0
1310,0.000999000999000999,1.0
1311,1.0,0.48151848151848153
1312,1.0,1.0
1313,0.002997002997002997,1.0
1314,1.0,0.000999000999000999
1315,1.0,0.000999000999000999
1316,1.0,1.0
1317,1.0,1.0
1318,0.4085914085914086,0.7852147852147852
1319,1.0,0.000999000999000999
1320,1.0,1.0
1321,1.0,1.0
1322,1.0,0.000999000999000999
1323,1.0,1.0
1324,1.0,0.000999000999000999
1325,1.0,0.000999000999000999
1327,1.0,0.000999000999000999
1328,1.0,1.0
1329,0.000999000999000999,1.0
1330,1.0,0.000999000999000999
1707,0.000999000999000999,1.0
1833,1.0,1.0
1874,0.000999000999000999,1.0
1875,1.0,1.0
1912,1.0,1.0
1921,1.0,0.000999000999000999
1930,0.7152847152847153,0.5294705294705294
1938,1.0,0.000999000999000999
1940,1.0,1.0
1944,1.0,0.000999000999000999
1956,1.0,1.0
1958,1.0,0.000999000999000999
1965,1.0,1.0
1978,1.0,1.0
1980,1.0,0.000999000999000999
1984,1.0,0.000999000999000999
1985,1.0,0.000999000999000999
1991,0.4015984015984016,0.7242757242757243
1993,0.03496503496503497,0.983016983016983
1995,0.000999000999000999,1.0
1996,1.0,0.000999000999000999
1997,1.0,0.000999000999000999
1998,0.000999000999000999,1.0
1999,1.0,1.0
2000,1.0,0.000999000999000999
2001,1.0,1.0
2002,1.0,0.5144855144855145
2003,1.0,0.000999000999000999
2004,1.0,0.14085914085914086
2005,0.8631368631368631,0.3146853146853147
2006,0.99000999000999,0.04295704295704296
2007,1.0,1.0
2008,1.0,0.23876123876123875
2009,1.0,0.03496503496503497
2010,0.000999000999000999,1.0
2011,1.0,0.000999000999000999
2012,1.0,0.000999000999000999
2013,0.000999000999000999,1.0
2014,1.0,1.0
2015,1.0,0.000999000999000999
2016,1.0,1.0
2017,1.0,0.000999000999000999
2018,1.0,0.07792207792207792
2019,0.000999000999000999,1.0
2020,1.0,0.000999000999000999
2021,1.0,0.000999000999000999
2022,1.0,1.0
2023,1.0,0.000999000999000999
2024,1.0,1.0
2025,0.014985014985014986,1.0
2026,1.0,1.0
2027,1.0,1.0
2028,1.0,1.0
2029,0.000999000999000999,1.0
2030,1.0,1.0
2031,1.0,1.0
2032,0.2627372627372627,0.7462537462537463
2033,0.000999000999000999,1.0
2034,1.0,0.000999000999000999
2035,1.0,1.0
2036,1.0,0.000999000999000999
2037,0.13786213786213786,0.8891108891108891
2038,1.0,0.000999000999000999
2039,1.0,1.0
